f	pi	p0
0.02564	4331.0	5142.0
0.05128	1486.0	2495.0
0.07692	786.0	1552.0
0.10256	555.0	1138.0
0.12821	392.0	863.0
0.15385	296.0	681.0
0.17949	254.0	611.0
0.20513	211.0	553.0
0.23077	155.0	442.0
0.25641	139.0	432.0
0.28205	139.0	347.0
0.30769	113.0	318.0
0.33333	108.0	311.0
0.35897	105.0	300.0
0.38462	87.0	265.0
0.41026	80.0	234.0
0.4359	81.0	206.0
0.46154	61.0	184.0
0.48718	64.0	156.0
0.51282	83.0	228.0
0.53846	47.0	172.0
0.5641	46.0	150.0
0.58974	47.0	184.0
0.61538	36.0	154.0
0.64103	41.0	139.0
0.66667	43.0	130.0
0.69231	21.0	131.0
0.71795	39.0	155.0
0.74359	28.0	119.0
0.76923	34.0	122.0
0.79487	39.0	124.0
0.82051	30.0	108.0
0.84615	34.0	116.0
0.87179	29.0	132.0
0.89744	37.0	129.0
0.92308	46.0	92.0
0.94872	42.0	104.0
0.97436	30.0	83.0
1.0	41.0	135.0
